source,user_name,rating,feedback_text,review_date
Google Play,Aarian,4,its alr,2026-07-09 05:37:04.000000
Google Play,syed ayaan,1,after i downloaded i am getting a space between my text message box and keyboard in my device,2026-07-09 04:58:41.000000
Google Play,Dylan Chong,1,"the app keep crashing upon opening on my android 16 phone. already uninstall, clear cache, storage etc vut doesn't help",2026-07-09 04:50:39.000000
Google Play,Seema Chougule,5,goted,2026-07-09 04:41:22.000000
Google Play,Rain JK,5,this is good for school and work,2026-07-09 04:41:08.000000
Google Play,Kasiviswaratnam Baisetti,5,good performance,2026-07-09 04:22:08.000000
Google Play,Taleesha Hillman,5,User-friendly and enhances productivity with meetings on the go.,2026-07-09 04:10:07.000000
Google Play,Azizul Hakiim,5,nice work teams!,2026-07-09 04:04:21.000000
Google Play,Vikas Singh,5,good,2026-07-09 03:43:34.000000
Google Play,Monosij Nayek,1,Huge blank space area coming above the keyboard and input box where text is shown after latest updates.,2026-07-09 03:38:00.000000
Google Play,Brian Shinall,3,"Teams as a real time communication isn't great at showing/sorting notifications. My largest issue is if multiple notifications of people messaging me, if I open teams, all notifications that you might miss that you'll want to catch up on doesn't exist.",2026-07-09 03:13:50.000000
Google Play,Sheila Krause,5,not sure,2026-07-09 03:01:04.000000
Google Play,Amiena Fakier,5,great,2026-07-09 02:44:15.000000
Google Play,Asaithambi Venkat,4,good,2026-07-09 02:01:30.000000
Google Play,Boon,2,notifications for old meetings keeps popping in when connected to android auto,2026-07-09 01:37:01.000000
Google Play,Guy,2,I question the privacy of this app. Keeps recording in the background.,2026-07-09 01:09:27.000000
Google Play,Allen Mendoza,1,"stuck on ""hang tight we're opening ms teams""",2026-07-09 00:47:08.000000
Google Play,himanshu kadam,5,"great app.. no hangs, just seamless",2026-07-08 23:17:52.000000
Google Play,Ayesha Ishrat,5,I can't login back into my account,2026-07-08 21:20:29.000000
Google Play,Maria Luisa Belle,5,satisfied with this application,2026-07-08 21:00:09.000000
Google Play,Morgan Family,1,"Worked great for 3 years. Since last update, random Bluetooth failures and notifications for meetings I never accepted or declined. I use this for work and this is not ideal.",2026-07-08 20:52:18.000000
Google Play,Travis Stills,1,awful,2026-07-08 19:52:00.000000
Google Play,Hanan Abo Al Hajal,1,very heavy and slow,2026-07-08 19:48:49.000000
Google Play,Cody Menefee,2,Buggy and unreliable,2026-07-08 18:29:21.000000
Google Play,Darcy Richardson,5,phone app works flawless!,2026-07-08 18:26:14.000000
Google Play,Malti Yadav,5,this app helps student and people alot in Covid when there was no sight of people to meet then this app helped everyone contact and now also helps in people contact eachother .,2026-07-08 17:49:41.000000
Google Play,Kartick Majhi,5,please share notification all time,2026-07-08 17:39:01.000000
Google Play,Pavan b,5,"i created the account using google sign,but now I want to add a password for easy login.can you help me with the process?",2026-07-08 16:57:05.000000
Google Play,Abdulwahab Ishaq,5,Very nice app,2026-07-08 16:54:35.000000
Google Play,Carlo Rizzuti,1,"After the july 7th 2026 update, you completely ruined Teams. We are now unable to search and open older chats within the app.",2026-07-08 16:12:47.000000
Google Play,Ambrose Olodia,5,excellent,2026-07-08 16:03:34.000000
Google Play,CYNTHIA M,1,I don't see my information,2026-07-08 15:57:10.000000
Google Play,Yonela Lupindo,5,"Microsoft Teams is an excellent collaboration app that makes it easy to communicate and work with others. The video and audio quality are reliable, file sharing is simple, and the chat feature keeps conversations organized. It integrates well with Microsoft Office apps, making teamwork more efficient. Overall, it's a great platform for work, meetings, and staying connected with colleagues.",2026-07-08 15:18:14.000000
Google Play,Kevyn25 Zebaze,5,Great,2026-07-08 14:20:14.000000
Google Play,Bijal Mehta,4,For the most part Teams works but then there are times when you can tell the program is bloated and does not work.,2026-07-08 13:59:45.000000
Google Play,Me,5,great app,2026-07-08 13:54:35.000000
Google Play,Md Somir,5,Momenur Rahman,2026-07-08 13:22:29.000000
Google Play,kottha sridhar,5,Good. user friendly,2026-07-08 12:58:20.000000
Google Play,Chuck Skidmore,3,"The app is a nice front end to the Teams website. However, similar to the vast majority of other apps, there isn't much value added over what I experience on the website. Most apps (including Teams) unfortunately have far less features than the website. [2006] Lowering the rating due to a recent surge in spam messages.",2026-07-08 12:44:33.000000
Google Play,Siddu Mc,5,good,2026-07-08 12:10:50.000000
Google Play,EVERESTUS ONOYIMA,4,not too good,2026-07-08 12:06:33.000000
Google Play,raj kumar,5,great,2026-07-08 11:27:47.000000
Google Play,Navya Jain,5,Goatedddd,2026-07-08 11:20:40.000000
Google Play,PUSHPARAJ SHUKLA,5,Good,2026-07-08 10:02:55.000000
Google Play,Melusi Ndhlovu,5,good,2026-07-08 09:31:41.000000
Google Play,Bukhari Vlog,5,Good,2026-07-08 08:29:25.000000
Google Play,Renata Razaityte,4,"at first ,it was difficult to download for me, the app wasn't working properly.",2026-07-08 08:22:28.000000
Google Play,Phil Morris,1,"Broken, again You just can't rely on this app, you will trust it then it will break and let you down.",2026-07-08 08:16:05.000000
Google Play,Sonal Jadhav,5,please help,2026-07-08 07:41:17.000000
Google Play,Chethana Ranasinghe,5,"⭐⭐⭐⭐⭐ Microsoft Teams is a reliable and feature-rich collaboration platform. It makes communication easy with chat, video meetings, file sharing, and seamless integration with Microsoft 365. The interface is user-friendly, and it's an excellent tool for remote work, online learning, and team collaboration. Overall, it's a great platform for staying connected and productive.",2026-07-08 07:28:29.000000
Survey,Survey_User,5,Excellent application,2026-07-10 05:51:53.968762
Survey,Survey_User,2,App crashes frequently,2026-07-10 05:51:53.968762
Survey,Survey_User,4,Need dark mode support,2026-07-10 05:51:53.968762
Survey,Survey_User,1,Login issues after update,2026-07-10 05:51:53.968762
Survey,Survey_User,5,Very user friendly,2026-07-10 05:51:53.968762
Survey,Survey_User,2,Performance is very slow,2026-07-10 05:51:53.968762
Survey,Survey_User,4,Love the collaboration features,2026-07-10 05:51:53.968762
Survey,Survey_User,1,Getting disconnected often,2026-07-10 05:51:53.968762
Survey,Survey_User,5,Excellent experience,2026-07-10 05:51:53.968762
Survey,Survey_User,3,Need better notification controls,2026-07-10 05:51:53.968762
